rule_rank,candidate_id,title,yoe,final,evidence,title_fit,exp,skills,edu,penalty,reasons
23,CAND_0039383,Applied ML Engineer,7.1,0.9707,0.99,1.00,1.00,0.80,1.00,0.00,
24,CAND_0053695,Recommendation Systems Engineer,5.8,0.9674,0.98,1.00,1.00,0.80,1.00,0.00,
25,CAND_0047721,Senior Data Scientist,7.0,0.9644,0.95,0.95,1.00,1.00,1.00,0.00,
26,CAND_0051630,Machine Learning Engineer,6.0,0.9589,0.94,1.00,1.00,1.00,0.80,0.00,
27,CAND_0060054,AI Engineer,6.4,0.9589,0.99,1.00,1.00,0.83,0.80,0.00,
28,CAND_0046064,Senior NLP Engineer,8.9,0.9584,1.00,1.00,1.00,0.67,1.00,0.00,
29,CAND_0015528,Applied ML Engineer,7.4,0.9577,0.97,1.00,1.00,0.77,1.00,0.00,
30,CAND_0000031,Recommendation Systems Engineer,6.0,0.9558,0.98,1.00,1.00,0.83,0.80,0.00,
31,CAND_0087630,AI Engineer,7.2,0.9548,0.99,1.00,1.00,0.80,0.80,0.00,
32,CAND_0079387,AI Engineer,6.9,0.9512,0.98,1.00,1.00,0.67,1.00,0.00,
33,CAND_0051292,Applied ML Engineer,5.2,0.9492,0.97,1.00,1.00,0.83,0.80,0.00,
34,CAND_0096172,NLP Engineer,5.2,0.9487,0.98,1.00,1.00,0.64,1.00,0.00,
35,CAND_0081686,Search Engineer,6.0,0.9480,0.98,1.00,1.00,0.64,1.00,0.00,
36,CAND_0093912,Senior Data Scientist,5.3,0.9465,0.96,1.00,1.00,0.83,0.80,0.00,
37,CAND_0099401,NLP Engineer,7.7,0.9463,0.93,1.00,1.00,0.83,1.00,0.00,
38,CAND_0024466,Search Engineer,5.2,0.9463,0.93,1.00,1.00,0.80,1.00,0.00,
39,CAND_0042029,Senior Data Scientist,6.5,0.9461,0.92,1.00,1.00,1.00,0.80,0.00,
40,CAND_0080766,Staff Machine Learning Engineer,8.8,0.9453,0.94,1.00,1.00,0.77,1.00,0.00,
41,CAND_0027691,NLP Engineer,6.5,0.9439,0.92,1.00,1.00,0.96,0.80,0.00,
42,CAND_0095528,Senior Data Scientist,5.3,0.9430,0.87,1.00,1.00,1.00,1.00,0.00,
43,CAND_0006557,NLP Engineer,7.9,0.9425,0.91,1.00,1.00,1.00,0.80,0.00,
44,CAND_0069905,Applied ML Engineer,6.6,0.9404,0.99,1.00,1.00,0.67,0.80,0.00,
45,CAND_0041610,Recommendation Systems Engineer,6.7,0.9390,0.90,1.00,1.00,1.00,0.80,0.00,
46,CAND_0070485,Search Engineer,6.4,0.9380,0.96,1.00,1.00,0.64,1.00,0.00,
47,CAND_0020877,Applied ML Engineer,5.1,0.9378,0.95,1.00,1.00,0.67,1.00,0.00,
48,CAND_0052682,NLP Engineer,6.6,0.9360,0.94,0.95,1.00,0.80,1.00,0.00,
49,CAND_0041669,Recommendation Systems Engineer,8.0,0.9359,0.95,1.00,1.00,0.67,1.00,0.00,
50,CAND_0050454,AI Engineer,6.8,0.9357,0.99,1.00,1.00,0.50,1.00,0.00,
51,CAND_0030827,Senior Data Scientist,5.4,0.9350,0.96,0.95,1.00,0.83,0.80,0.00,
52,CAND_0011162,Recommendation Systems Engineer,5.8,0.9348,0.92,1.00,1.00,0.77,1.00,0.00,
53,CAND_0096142,Applied ML Engineer,5.0,0.9340,0.95,1.00,1.00,0.64,1.00,0.00,
54,CAND_0010685,NLP Engineer,6.7,0.9339,0.97,1.00,1.00,0.83,0.60,0.00,
55,CAND_0039754,Senior Applied Scientist,16.2,0.9328,1.00,1.00,0.64,0.83,1.00,0.00,
56,CAND_0075574,Machine Learning Engineer,5.7,0.9309,0.94,1.00,1.00,0.67,1.00,0.00,
57,CAND_0099806,AI Engineer,4.6,0.9308,0.95,1.00,0.83,0.80,1.00,0.00,
58,CAND_0072660,Machine Learning Engineer,7.1,0.9305,0.85,1.00,1.00,1.00,1.00,0.00,
59,CAND_0065878,Senior Data Scientist,7.8,0.9302,0.97,1.00,1.00,0.67,0.80,0.00,
60,CAND_0042100,Machine Learning Engineer,7.3,0.9300,0.89,1.00,1.00,0.96,0.80,0.00,
61,CAND_0068811,Applied ML Engineer,8.0,0.9295,0.97,1.00,1.00,0.67,0.80,0.00,
62,CAND_0027801,NLP Engineer,7.4,0.9280,0.96,1.00,1.00,0.67,0.80,0.00,
63,CAND_0009024,Search Engineer,5.2,0.9275,0.97,1.00,1.00,0.50,1.00,0.00,
64,CAND_0078002,Machine Learning Engineer,6.3,0.9272,0.98,1.00,1.00,0.48,1.00,0.00,
65,CAND_0030348,Machine Learning Engineer,4.5,0.9272,0.98,1.00,0.81,0.80,0.80,0.00,
66,CAND_0042506,Search Engineer,4.2,0.9271,0.94,1.00,0.76,1.00,0.80,0.00,
67,CAND_0017960,Recommendation Systems Engineer,7.7,0.9265,0.97,1.00,1.00,0.50,1.00,0.00,
68,CAND_0074735,Applied ML Engineer,5.5,0.9262,0.85,1.00,1.00,0.96,1.00,0.00,
69,CAND_0064326,Search Engineer,7.6,0.9247,0.96,1.00,1.00,0.67,0.80,0.00,
70,CAND_0055992,AI Engineer,16.9,0.9237,0.99,1.00,0.60,0.83,1.00,0.00,
71,CAND_0050876,Applied ML Engineer,6.0,0.9231,0.97,1.00,1.00,0.48,1.00,0.00,
72,CAND_0033861,Senior NLP Engineer,8.0,0.9211,0.98,1.00,1.00,0.83,1.00,0.00,
73,CAND_0075439,Machine Learning Engineer,4.3,0.9195,0.92,1.00,0.77,1.00,0.80,0.00,
74,CAND_0009691,Applied ML Engineer,6.2,0.9172,0.99,1.00,1.00,0.48,0.80,0.00,
75,CAND_0030468,Senior Applied Scientist,5.4,0.9171,0.86,1.00,1.00,0.83,1.00,0.00,
76,CAND_0061265,Recommendation Systems Engineer,6.6,0.9167,0.96,1.00,1.00,0.46,1.00,0.00,
77,CAND_0018722,Recommendation Systems Engineer,6.6,0.9160,0.98,1.00,1.00,0.50,0.80,0.00,
78,CAND_0005538,Senior AI Engineer,5.9,0.9134,0.89,1.00,1.00,0.83,0.80,0.00,
79,CAND_0049896,Search Engineer,7.3,0.9129,0.92,1.00,1.00,0.83,0.60,0.00,
80,CAND_0075249,Applied ML Engineer,6.2,0.9124,0.98,1.00,1.00,0.33,1.00,0.00,
81,CAND_0037980,Senior Applied Scientist,9.0,0.9118,0.80,1.00,1.00,1.00,1.00,0.00,
82,CAND_0057563,NLP Engineer,6.8,0.9116,0.98,1.00,1.00,0.32,1.00,0.00,
83,CAND_0040117,Recommendation Systems Engineer,6.5,0.9110,0.94,1.00,1.00,0.50,1.00,0.00,
84,CAND_0015578,AI Engineer,5.4,0.9110,0.85,1.00,1.00,0.83,1.00,0.00,
85,CAND_0010257,Senior Data Scientist,6.5,0.9093,0.92,1.00,1.00,0.67,0.80,0.00,
86,CAND_0043228,Applied ML Engineer,6.8,0.9091,0.94,1.00,1.00,0.46,1.00,0.00,
87,CAND_0064904,AI Engineer,4.9,0.9088,0.87,1.00,0.88,1.00,0.80,0.00,
88,CAND_0044883,AI Engineer,6.3,0.9081,0.96,1.00,1.00,0.64,0.60,0.00,
89,CAND_0032515,Machine Learning Engineer,5.1,0.9072,0.84,1.00,1.00,0.83,1.00,0.00,
90,CAND_0044222,AI Engineer,7.7,0.9070,0.97,1.00,1.00,0.32,1.00,0.00,
91,CAND_0079284,Machine Learning Engineer,4.9,0.9054,0.96,1.00,0.88,0.50,1.00,0.00,
92,CAND_0013536,Applied ML Engineer,14.1,0.9030,0.94,1.00,0.74,0.96,0.60,0.00,
93,CAND_0058575,AI Engineer,5.8,0.9028,0.96,1.00,1.00,0.48,0.80,0.00,
94,CAND_0091909,Machine Learning Engineer,6.9,0.9025,0.96,1.00,1.00,0.33,1.00,0.00,
95,CAND_0007009,Recommendation Systems Engineer,7.9,0.9021,0.95,1.00,1.00,0.50,0.80,0.00,
96,CAND_0029367,Senior Data Scientist,5.7,0.9006,0.99,1.00,1.00,1.00,0.80,0.08,short avg tenure (title-chaser signal)
97,CAND_0037944,Senior Data Scientist,4.9,0.8999,0.90,1.00,0.88,0.67,1.00,0.00,
98,CAND_0060072,Staff Machine Learning Engineer,5.7,0.8984,0.97,1.00,1.00,0.83,1.00,0.00,
99,CAND_0076904,Senior Data Scientist,4.2,0.8983,0.96,1.00,0.76,0.83,0.60,0.00,
100,CAND_0016163,Applied ML Engineer,6.7,0.8981,0.91,1.00,1.00,0.64,0.80,0.00,
101,CAND_0031593,Search Engineer,7.8,0.8975,0.95,1.00,1.00,0.48,0.80,0.00,
102,CAND_0058688,AI Engineer,6.7,0.8964,0.81,1.00,1.00,0.83,1.00,0.00,
103,CAND_0086151,Recommendation Systems Engineer,7.7,0.8962,0.98,1.00,1.00,0.48,0.60,0.00,
104,CAND_0079064,Senior Data Scientist,5.2,0.8950,0.96,0.95,1.00,0.64,0.60,0.00,
105,CAND_0070202,Machine Learning Engineer,5.1,0.8948,0.94,1.00,1.00,1.00,1.00,0.08,short avg tenure (title-chaser signal)
106,CAND_0052335,Applied ML Engineer,6.4,0.8946,0.89,1.00,1.00,0.67,0.80,0.00,
107,CAND_0089552,Machine Learning Engineer,6.0,0.8943,0.93,1.00,1.00,0.50,0.80,0.00,
108,CAND_0006567,Senior AI Engineer,7.9,0.8918,0.80,1.00,1.00,0.83,1.00,0.00,
109,CAND_0076251,Search Engineer,7.6,0.8903,0.93,1.00,1.00,0.48,0.80,0.00,
110,CAND_0074225,Machine Learning Engineer,4.3,0.8899,0.90,1.00,0.77,0.83,0.80,0.00,
111,CAND_0020708,Search Engineer,4.2,0.8886,0.90,1.00,0.76,0.83,0.80,0.00,
112,CAND_0014440,Recommendation Systems Engineer,6.4,0.8882,0.89,1.00,1.00,0.48,1.00,0.00,
113,CAND_0078492,Recommendation Systems Engineer,5.1,0.8882,0.89,1.00,1.00,0.48,1.00,0.00,
114,CAND_0094056,NLP Engineer,5.9,0.8871,0.92,1.00,1.00,0.50,0.80,0.00,
115,CAND_0003977,Recommendation Systems Engineer,4.6,0.8871,0.99,1.00,0.83,0.96,1.00,0.08,short avg tenure (title-chaser signal)
116,CAND_0078042,Applied ML Engineer,4.7,0.8861,0.92,1.00,0.85,0.67,0.80,0.00,
117,CAND_0007411,Senior Machine Learning Engineer,8.0,0.8835,0.98,1.00,1.00,1.00,1.00,0.00,
118,CAND_0068351,Lead AI Engineer,6.4,0.8805,0.75,1.00,1.00,0.96,1.00,0.00,
119,CAND_0081053,NLP Engineer,5.4,0.8801,0.87,1.00,1.00,0.50,1.00,0.00,
120,CAND_0012957,Search Engineer,4.9,0.8789,0.93,1.00,0.88,0.50,0.80,0.00,
121,CAND_0041568,Search Engineer,5.2,0.8787,0.96,1.00,1.00,0.80,1.00,0.08,short avg tenure (title-chaser signal)
122,CAND_0030953,Search Engineer,7.8,0.8783,1.00,1.00,1.00,0.67,1.00,0.08,short avg tenure (title-chaser signal)
123,CAND_0094759,Lead AI Engineer,8.6,0.8773,0.99,1.00,1.00,0.80,0.80,0.00,
124,CAND_0001218,AI Specialist,6.4,0.8770,0.91,0.80,1.00,0.67,1.00,0.00,
125,CAND_0049615,ML Engineer,5.1,0.8750,0.85,1.00,1.00,0.67,0.80,0.00,
126,CAND_0006418,Machine Learning Engineer,5.7,0.8722,0.77,1.00,1.00,0.80,1.00,0.00,
127,CAND_0053591,AI Engineer,5.3,0.8719,0.93,1.00,1.00,0.33,0.80,0.00,
128,CAND_0037566,Machine Learning Engineer,6.9,0.8718,0.85,1.00,1.00,0.64,0.80,0.00,
129,CAND_0011432,Senior Data Scientist,7.6,0.8708,0.96,1.00,1.00,0.33,0.60,0.00,
130,CAND_0018549,Recommendation Systems Engineer,6.8,0.8703,0.93,1.00,1.00,0.17,1.00,0.00,
131,CAND_0024620,AI Engineer,5.9,0.8693,0.75,1.00,1.00,1.00,0.80,0.00,
132,CAND_0007412,Applied ML Engineer,7.4,0.8681,0.97,1.00,1.00,0.67,1.00,0.08,short avg tenure (title-chaser signal)
133,CAND_0051004,Senior Data Scientist,4.7,0.8674,0.87,0.95,0.85,0.64,1.00,0.00,
134,CAND_0054394,Recommendation Systems Engineer,4.1,0.8671,0.96,1.00,0.74,0.33,1.00,0.00,
135,CAND_0018653,ML Engineer,6.5,0.8662,0.85,1.00,1.00,0.46,1.00,0.00,
136,CAND_0045250,Applied ML Engineer,6.6,0.8650,0.86,1.00,1.00,0.67,0.60,0.00,
137,CAND_0084819,Search Engineer,4.5,0.8649,0.87,1.00,0.81,0.83,0.60,0.00,
138,CAND_0022812,Applied ML Engineer,4.5,0.8648,0.93,1.00,0.81,0.61,0.60,0.00,
139,CAND_0076163,NLP Engineer,6.9,0.8608,0.85,0.95,1.00,0.64,0.80,0.00,
140,CAND_0098846,AI Engineer,7.6,0.8522,0.85,1.00,1.00,0.33,1.00,0.00,
141,CAND_0077285,Recommendation Systems Engineer,5.5,0.8521,0.88,1.00,1.00,1.00,0.80,0.08,short avg tenure (title-chaser signal)
142,CAND_0093331,NLP Engineer,16.1,0.8443,0.97,1.00,0.64,0.33,0.80,0.00,
143,CAND_0074621,Data Scientist,5.2,0.8437,0.79,1.00,1.00,0.50,1.00,0.00,
144,CAND_0057701,Recommendation Systems Engineer,4.1,0.8430,0.86,1.00,0.74,0.50,1.00,0.00,
145,CAND_0046924,Computer Vision Engineer,6.3,0.8429,0.82,0.85,1.00,1.00,0.45,0.00,
146,CAND_0013613,Machine Learning Engineer,4.7,0.8425,0.99,1.00,0.85,0.16,0.60,0.00,
147,CAND_0083879,Machine Learning Engineer,7.1,0.8418,0.92,1.00,1.00,0.00,1.00,0.00,
148,CAND_0066999,Recommendation Systems Engineer,5.9,0.8405,0.70,1.00,1.00,0.80,1.00,0.00,
149,CAND_0008239,AI Engineer,4.0,0.8393,0.75,1.00,0.72,0.92,1.00,0.00,
150,CAND_0091534,AI Engineer,16.6,0.8392,0.98,1.00,0.62,0.16,1.00,0.00,
151,CAND_0056881,Machine Learning Engineer,4.5,0.8373,0.74,1.00,0.81,0.96,0.80,0.00,
152,CAND_0036437,Search Engineer,4.8,0.8373,0.85,1.00,0.86,0.50,0.80,0.00,
153,CAND_0002120,ML Engineer,6.5,0.8370,0.69,1.00,1.00,0.80,1.00,0.00,
154,CAND_0092278,Senior NLP Engineer,6.8,0.8343,1.00,0.95,1.00,0.83,1.00,0.00,
155,CAND_0054123,Applied ML Engineer,4.7,0.8311,0.98,1.00,0.85,0.50,1.00,0.08,short avg tenure (title-chaser signal)
156,CAND_0051486,AI Specialist,5.9,0.8310,0.85,0.80,1.00,0.67,0.80,0.00,
157,CAND_0092245,Senior Data Scientist,4.1,0.8293,0.80,0.80,0.74,0.96,1.00,0.00,
158,CAND_0082489,ML Engineer,5.3,0.8253,0.75,1.00,1.00,0.50,1.00,0.00,
159,CAND_0039521,Search Engineer,3.0,0.8235,0.90,1.00,0.54,0.67,0.60,0.00,
160,CAND_0049538,Applied ML Engineer,5.8,0.8229,0.78,1.00,1.00,1.00,1.00,0.08,short avg tenure (title-chaser signal)
161,CAND_0052328,Recommendation Systems Engineer,6.5,0.8213,0.70,1.00,1.00,0.64,1.00,0.00,
162,CAND_0035879,AI Research Engineer,4.5,0.8206,0.75,1.00,0.81,0.67,1.00,0.00,
163,CAND_0061479,ML Engineer,5.0,0.8185,0.82,1.00,1.00,0.17,1.00,0.00,
164,CAND_0061339,Search Engineer,4.2,0.8179,0.98,1.00,0.76,0.61,0.80,0.08,short avg tenure (title-chaser signal)
165,CAND_0065786,AI Specialist,4.9,0.8170,0.79,0.85,0.88,0.67,1.00,0.00,
166,CAND_0010770,Recommendation Systems Engineer,15.2,0.8168,0.99,1.00,0.69,0.50,1.00,0.08,short avg tenure (title-chaser signal)
167,CAND_0093193,Senior Machine Learning Engineer,7.9,0.8148,0.67,1.00,1.00,0.83,0.80,0.00,
168,CAND_0009837,Senior Data Scientist,4.3,0.8147,0.80,0.80,0.77,0.80,1.00,0.00,
169,CAND_0036863,Senior Data Scientist,4.3,0.8138,0.91,1.00,0.77,0.17,0.80,0.00,
170,CAND_0007460,AI Engineer,4.7,0.8124,0.70,1.00,0.85,1.00,0.60,0.00,
171,CAND_0055139,ML Engineer,6.9,0.8124,0.74,1.00,1.00,0.67,0.60,0.00,
172,CAND_0095619,NLP Engineer,15.6,0.8106,0.70,0.95,0.67,1.00,1.00,0.00,
173,CAND_0061655,Machine Learning Engineer,4.6,0.8097,0.91,1.00,0.83,0.61,1.00,0.08,short avg tenure (title-chaser signal)
174,CAND_0082913,Senior Software Engineer (ML),5.5,0.8097,0.82,0.80,1.00,0.46,1.00,0.00,
175,CAND_0069638,Computer Vision Engineer,6.2,0.8095,0.82,0.85,1.00,0.50,0.80,0.00,
176,CAND_0040887,Machine Learning Engineer,4.7,0.8081,0.96,1.00,0.85,0.50,0.80,0.08,short avg tenure (title-chaser signal)
177,CAND_0061257,Staff Machine Learning Engineer,8.0,0.8076,0.67,1.00,1.00,0.64,1.00,0.00,
178,CAND_0067643,AI Research Engineer,6.0,0.8075,0.78,0.85,1.00,0.48,1.00,0.00,
179,CAND_0001494,Data Scientist,6.4,0.8066,0.85,0.78,1.00,0.50,0.80,0.00,
180,CAND_0006538,AI Specialist,5.7,0.8059,0.75,0.85,1.00,0.61,1.00,0.00,
181,CAND_0033749,Computer Vision Engineer,4.7,0.8057,0.81,0.78,0.85,0.92,0.60,0.00,
182,CAND_0003557,ML Engineer,6.8,0.8029,0.79,1.00,1.00,0.16,1.00,0.00,
183,CAND_0052360,ML Engineer,3.0,0.7999,0.70,1.00,0.54,0.96,1.00,0.00,
184,CAND_0076831,Search Engineer,4.0,0.7997,0.81,1.00,0.72,0.33,1.00,0.00,
185,CAND_0045613,Computer Vision Engineer,5.0,0.7965,0.70,0.80,1.00,0.80,1.00,0.00,
186,CAND_0086028,AI Research Engineer,6.2,0.7955,0.75,1.00,1.00,0.48,0.80,0.00,
187,CAND_0061175,AI Research Engineer,6.7,0.7935,0.82,0.85,1.00,0.50,0.60,0.00,
188,CAND_0009236,AI Specialist,6.3,0.7922,0.82,0.80,1.00,0.31,1.00,0.00,
189,CAND_0092255,ML Engineer,5.2,0.7894,0.58,1.00,1.00,0.83,1.00,0.00,
190,CAND_0081852,Senior Data Scientist,5.9,0.7893,0.75,1.00,1.00,0.33,0.80,0.00,
191,CAND_0000981,ML Engineer,6.4,0.7885,0.70,1.00,1.00,0.50,0.80,0.00,
192,CAND_0041611,Staff Machine Learning Engineer,6.4,0.7877,1.00,1.00,1.00,0.46,0.60,0.00,
193,CAND_0092706,AI Research Engineer,5.8,0.7845,0.75,1.00,1.00,0.16,1.00,0.00,
194,CAND_0032179,Computer Vision Engineer,6.4,0.7814,0.58,1.00,1.00,0.77,1.00,0.00,
195,CAND_0060340,Computer Vision Engineer,6.1,0.7805,0.70,1.00,1.00,0.67,0.45,0.00,
196,CAND_0056262,Junior ML Engineer,6.0,0.7753,0.82,0.80,1.00,0.31,0.80,0.00,
197,CAND_0044262,Data Scientist,6.9,0.7739,0.78,1.00,1.00,0.31,0.45,0.00,
198,CAND_0064270,Applied ML Engineer,4.2,0.7720,0.92,1.00,0.76,0.61,0.60,0.08,short avg tenure (title-chaser signal)
199,CAND_0023583,ML Engineer,4.1,0.7712,0.70,1.00,0.74,0.64,0.80,0.00,
200,CAND_0032807,Machine Learning Engineer,4.2,0.7704,0.78,1.00,0.76,0.16,1.00,0.00,
